shock_date,n_obs,beta,se,half_life_months
2020-06-01,396,-0.02201237562053756,0.012901806779830953,31.141117320582342
2020-07-01,396,-0.023481497876334193,0.012808264702696144,29.170919528051233
2020-11-01,396,-0.016138607271464205,0.00991032926886647,42.60211471951206
2020-12-01,396,-0.02263391096875668,0.008824115200736815,30.27638196067209
2021-01-01,396,-0.02090488786100829,0.008829569913125366,32.80938853848046
2023-05-01,396,-0.004759716432626438,0.009092188176775035,145.28098188478467
2023-06-01,396,-0.002995977011559778,0.009142686156133846,231.01256522830957
2023-09-01,396,-0.00152215538143503,0.00866360691485893,455.02549622549145
2023-10-01,396,0.00100346892179384,0.008583338091660847,
2023-11-01,396,-0.001902842382678827,0.0071955328407098075,363.92267830581255
2023-12-01,396,-0.004561974770893154,0.007439032727262131,151.5933231637533
2024-01-01,396,-0.003341755736466558,0.0071431516510932795,207.07329461421318
2024-02-01,396,-0.001701614792581593,0.008022129050544172,407.0000339904347
2024-03-01,396,-0.0024271592667590917,0.007963724427473041,285.23288934644347
2024-04-01,396,-7.907877228252418e-05,0.007778969971464014,8764.928356605908
2024-05-01,396,0.002907054806146617,0.0079994934226395,
2024-06-01,396,0.001046645205569215,0.007953122094334504,
2024-07-01,396,-0.0026159063802704548,0.008503578276186542,264.62727639330234
2024-08-01,363,-0.0025553877999137014,0.00914191294971289,270.90258980975466
2024-09-01,330,-0.002214282483228358,0.009885695776105475,312.68796571758855
2024-10-01,297,-0.004898899529734518,0.01068677198516654,141.14352774729014
2024-11-01,264,-0.008953266353032702,0.011830048933883728,77.07126500659422
2024-12-01,231,-0.00888108991831688,0.012566975366564077,77.70044661363974
2025-01-01,198,0.0053719313752429105,0.013359803481197518,
